Source,Target,Attribute,Type
1,2,Intervention,Directed
1,3,Intervention,Directed
1,4,Intervention,Directed
1,5,Intervention,Directed
1,6,Intervention,Directed
1,7,Condition,Directed
1,8,Intervention,Directed
1,9,Condition,Directed
1,10,Intervention,Directed
1,11,Intervention,Directed
1,12,Condition,Directed
1,13,Intervention,Directed
1,14,Intervention,Directed
1,15,Condition,Directed
1,16,Condition,Directed
1,17,Condition,Directed
1,18,Condition,Directed
1,19,Intervention,Directed
1,20,Intervention,Directed
1,21,Condition,Directed
